 TIME, ISTEP, FT, FX, FY, FZ, MOMX, MOMY, MOMZ, XBAR, YBAR, ZBAR
 6.359958E+00,  1060,  3.023151E+00, -6.023568E-04, -3.023151E+00,  0.000000E+00,  0.000000E+00,  0.000000E+00, -6.992921E-08, -3.576926E-06, -1.783307E-02,  5.000000E-01
 6.419957E+00,  1070,  3.026036E+00, -9.216915E-05, -3.026036E+00,  0.000000E+00,  0.000000E+00,  0.000000E+00, -1.586004E-08, -3.368018E-06, -1.103416E-01,  5.000000E-01
 6.479957E+00,  1080,  3.028857E+00,  5.034868E-04, -3.028857E+00,  0.000000E+00,  0.000000E+00,  0.000000E+00,  1.345806E-08, -3.213029E-06,  1.935964E-02,  5.000000E-01
 6.539956E+00,  1090,  3.031603E+00,  1.113195E-03, -3.031603E+00,  0.000000E+00,  0.000000E+00,  0.000000E+00,  2.400499E-08, -3.133580E-06,  8.552915E-03,  5.000000E-01
 6.599955E+00,  1100,  3.034282E+00,  1.671989E-03, -3.034281E+00,  0.000000E+00,  0.000000E+00,  0.000000E+00,  9.443675E-09, -3.142285E-06,  5.709192E-03,  5.000000E-01
 6.659955E+00,  1110,  3.036882E+00,  2.119464E-03, -3.036882E+00,  0.000000E+00,  0.000000E+00,  0.000000E+00, -2.607097E-08, -3.230458E-06,  4.616397E-03,  5.000000E-01
 6.719954E+00,  1120,  3.039417E+00,  2.407558E-03, -3.039416E+00,  0.000000E+00,  0.000000E+00,  0.000000E+00, -8.142841E-08, -3.403978E-06,  4.264100E-03,  5.000000E-01
 6.779953E+00,  1130,  3.041881E+00,  2.501643E-03, -3.041879E+00,  0.000000E+00,  0.000000E+00,  0.000000E+00, -1.496289E-07, -3.637044E-06,  4.361183E-03,  5.000000E-01
 6.839952E+00,  1140,  3.044278E+00,  2.396987E-03, -3.044277E+00,  0.000000E+00,  0.000000E+00,  0.000000E+00, -2.184378E-07, -3.905644E-06,  4.869492E-03,  5.000000E-01
 6.899952E+00,  1150,  3.046613E+00,  2.102856E-03, -3.046613E+00,  0.000000E+00,  0.000000E+00,  0.000000E+00, -2.854454E-07, -4.183271E-06,  5.924969E-03,  5.000000E-01
 6.959951E+00,  1160,  3.048882E+00,  1.653125E-03, -3.048882E+00,  0.000000E+00,  0.000000E+00,  0.000000E+00, -3.447122E-07, -4.450049E-06,  7.995333E-03,  5.000000E-01
 7.019950E+00,  1170,  3.051085E+00,  1.098696E-03, -3.051085E+00,  0.000000E+00,  0.000000E+00,  0.000000E+00, -3.824208E-07, -4.667009E-06,  1.260821E-02,  5.000000E-01
 7.079950E+00,  1180,  3.053236E+00,  5.016046E-04, -3.053236E+00,  0.000000E+00,  0.000000E+00,  0.000000E+00, -4.013382E-07, -4.819231E-06,  2.852577E-02,  5.000000E-01
 7.139949E+00,  1190,  3.055317E+00, -7.010056E-05, -3.055317E+00,  0.000000E+00,  0.000000E+00,  0.000000E+00, -3.948574E-07, -4.885882E-06, -2.072593E-01,  5.000000E-01
 7.199948E+00,  1200,  3.057343E+00, -5.569341E-04, -3.057343E+00,  0.000000E+00,  0.000000E+00,  0.000000E+00, -3.660794E-07, -4.866027E-06, -2.605339E-02,  5.000000E-01
 7.259948E+00,  1210,  3.059311E+00, -8.995597E-04, -3.059311E+00,  0.000000E+00,  0.000000E+00,  0.000000E+00, -3.197574E-07, -4.768624E-06, -1.587341E-02,  5.000000E-01
 7.319947E+00,  1220,  3.061220E+00, -1.066806E-03, -3.061220E+00,  0.000000E+00,  0.000000E+00,  0.000000E+00, -2.574732E-07, -4.595127E-06, -1.294494E-02,  5.000000E-01
 7.379947E+00,  1230,  3.063075E+00, -1.033858E-03, -3.063075E+00,  0.000000E+00,  0.000000E+00,  0.000000E+00, -1.878305E-07, -4.378909E-06, -1.279430E-02,  5.000000E-01
 7.439946E+00,  1240,  3.064879E+00, -8.092985E-04, -3.064879E+00,  0.000000E+00,  0.000000E+00,  0.000000E+00, -1.195361E-07, -4.135296E-06, -1.552026E-02,  5.000000E-01
 7.499945E+00,  1250,  3.066630E+00, -4.163340E-04, -3.066630E+00,  0.000000E+00,  0.000000E+00,  0.000000E+00, -5.707860E-08, -3.901183E-06, -2.857883E-02,  5.000000E-01
 7.559945E+00,  1260,  3.068334E+00,  9.904374E-05, -3.068334E+00,  0.000000E+00,  0.000000E+00,  0.000000E+00, -1.146231E-08, -3.699668E-06,  1.144696E-01,  5.000000E-01
