 ISWEEP, FT, FX, FY, FZ, MOMX, MOMY, MOMZ, XBAR, YBAR, ZBAR
  5600,  3.106537E+00,  7.172324E-04, -3.106537E+00,  0.000000E+00,  0.000000E+00,  0.000000E+00, -1.862582E-07, -5.205798E-06,  2.228809E-02,  5.000000E-01
  5650,  3.106543E+00,  7.182040E-04, -3.106543E+00,  0.000000E+00,  0.000000E+00,  0.000000E+00, -1.850824E-07, -5.166888E-06,  2.209133E-02,  5.000000E-01
  5700,  3.106551E+00,  7.287061E-04, -3.106551E+00,  0.000000E+00,  0.000000E+00,  0.000000E+00, -1.853587E-07, -5.148419E-06,  2.169389E-02,  5.000000E-01
  5750,  3.106551E+00,  7.421327E-04, -3.106551E+00,  0.000000E+00,  0.000000E+00,  0.000000E+00, -1.860455E-07, -5.123612E-06,  2.119663E-02,  5.000000E-01
  5800,  3.106546E+00,  7.561816E-04, -3.106546E+00,  0.000000E+00,  0.000000E+00,  0.000000E+00, -1.875117E-07, -5.122546E-06,  2.079647E-02,  5.000000E-01
  5850,  3.106544E+00,  7.702805E-04, -3.106544E+00,  0.000000E+00,  0.000000E+00,  0.000000E+00, -1.891337E-07, -5.133841E-06,  2.045926E-02,  5.000000E-01
  5900,  3.106548E+00,  7.802500E-04, -3.106547E+00,  0.000000E+00,  0.000000E+00,  0.000000E+00, -1.902994E-07, -5.151218E-06,  2.026556E-02,  5.000000E-01
  5950,  3.106551E+00,  7.887248E-04, -3.106551E+00,  0.000000E+00,  0.000000E+00,  0.000000E+00, -1.909488E-07, -5.169090E-06,  2.011740E-02,  5.000000E-01
  6000,  3.106551E+00,  7.946847E-04, -3.106550E+00,  0.000000E+00,  0.000000E+00,  0.000000E+00, -1.913902E-07, -5.181570E-06,  2.001475E-02,  5.000000E-01
  6050,  3.106548E+00,  7.997369E-04, -3.106548E+00,  0.000000E+00,  0.000000E+00,  0.000000E+00, -1.919084E-07, -5.192294E-06,  1.992931E-02,  5.000000E-01
  6100,  3.106548E+00,  8.024050E-04, -3.106548E+00,  0.000000E+00,  0.000000E+00,  0.000000E+00, -1.925440E-07, -5.202513E-06,  1.990181E-02,  5.000000E-01
  6150,  3.106550E+00,  8.024940E-04, -3.106550E+00,  0.000000E+00,  0.000000E+00,  0.000000E+00, -1.929843E-07, -5.214649E-06,  1.994605E-02,  5.000000E-01
  6200,  3.106552E+00,  7.996499E-04, -3.106552E+00,  0.000000E+00,  0.000000E+00,  0.000000E+00, -1.933014E-07, -5.228423E-06,  2.007012E-02,  5.000000E-01
  6250,  3.106551E+00,  7.950207E-04, -3.106551E+00,  0.000000E+00,  0.000000E+00,  0.000000E+00, -1.930830E-07, -5.237704E-06,  2.022352E-02,  5.000000E-01
  6300,  3.106549E+00,  7.887581E-04, -3.106549E+00,  0.000000E+00,  0.000000E+00,  0.000000E+00, -1.922842E-07, -5.242202E-06,  2.040280E-02,  5.000000E-01
  6350,  3.106549E+00,  7.821091E-04, -3.106549E+00,  0.000000E+00,  0.000000E+00,  0.000000E+00, -1.917522E-07, -5.235178E-06,  2.054903E-02,  5.000000E-01
  6400,  3.106552E+00,  7.784750E-04, -3.106552E+00,  0.000000E+00,  0.000000E+00,  0.000000E+00, -1.914675E-07, -5.235756E-06,  2.064765E-02,  5.000000E-01
  6450,  3.106550E+00,  7.753675E-04, -3.106550E+00,  0.000000E+00,  0.000000E+00,  0.000000E+00, -1.917988E-07, -5.239012E-06,  2.074301E-02,  5.000000E-01
  6500,  3.106545E+00,  7.694890E-04, -3.106545E+00,  0.000000E+00,  0.000000E+00,  0.000000E+00, -1.909827E-07, -5.229515E-06,  2.086416E-02,  5.000000E-01
  6550,  3.106544E+00,  7.651233E-04, -3.106544E+00,  0.000000E+00,  0.000000E+00,  0.000000E+00, -1.909076E-07, -5.225376E-06,  2.096650E-02,  5.000000E-01
  6600,  3.106549E+00,  7.614805E-04, -3.106549E+00,  0.000000E+00,  0.000000E+00,  0.000000E+00, -1.901863E-07, -5.216874E-06,  2.103309E-02,  5.000000E-01
  6650,  3.106552E+00,  7.588736E-04, -3.106552E+00,  0.000000E+00,  0.000000E+00,  0.000000E+00, -1.899400E-07, -5.206654E-06,  2.106385E-02,  5.000000E-01
  6700,  3.106553E+00,  7.595420E-04, -3.106552E+00,  0.000000E+00,  0.000000E+00,  0.000000E+00, -1.896219E-07, -5.201043E-06,  2.102279E-02,  5.000000E-01
  6750,  3.106547E+00,  7.596544E-04, -3.106547E+00,  0.000000E+00,  0.000000E+00,  0.000000E+00, -1.896742E-07, -5.195149E-06,  2.099547E-02,  5.000000E-01
  6800,  3.106545E+00,  7.617628E-04, -3.106545E+00,  0.000000E+00,  0.000000E+00,  0.000000E+00, -1.899063E-07, -5.196542E-06,  2.094272E-02,  5.000000E-01
  6850,  3.106547E+00,  7.625728E-04, -3.106547E+00,  0.000000E+00,  0.000000E+00,  0.000000E+00, -1.896694E-07, -5.189273E-06,  2.089118E-02,  5.000000E-01
